subject,samples,qwk,fisher_z,recovered_kappa,pearson,p_value,auc,accuracy,kappa
Frans,21,0.10758153324862363,0.1079994813474173,0.10758153324862366,0.1808013946363799,0.43286483464757,0.673469387755102,0.6190476190476191,-0.09090909090909083
Geschiedenis,7,0.0,0.0,0.0,,,,1.0,
Godsdienst,125,0.10662624583363889,0.10703310835596755,0.10662624583363892,0.14376707749274056,0.10970115072825526,0.6338797814207651,0.936,-0.030927835051546504
Informatica,35,0.14883955600403642,0.14995349175888567,0.14883955600403637,0.11875622850157123,0.49684237096410855,0.7015306122448979,0.6857142857142857,-0.17021276595744683
Muziek,99,0.5990257518951314,0.6916263058248887,0.5990257518951314,0.6748282881643983,1.875726805850936e-14,0.8414473684210525,0.8383838383838383,0.31369150779896016
Natuurwetenschappen,23,0.7234194546969878,0.9147817848353935,0.7234194546969878,0.7399183053355433,5.447371621924664e-05,0.9215686274509803,0.8260869565217391,0.42500000000000004
Nederlands,14,0.0,0.0,0.0,,,,1.0,
Overig,735,0.3306579146725418,0.3435667519226321,0.3306579146725418,0.32415784399355196,1.9178036267322036e-19,0.7802826527912514,0.9115646258503401,0.4067354617591178
Recht,291,0.21587896140835683,0.2193295624317494,0.21587896140835683,0.22776305787216217,8.844897789279027e-05,0.6053544110147884,0.6666666666666666,0.15621917316832556
_ALL_,1350,0.34184212741526965,0.3561769201720079,0.3418421274152696,0.3471296399447258,1.6199499605400626e-39,0.740767277418512,0.8451851851851852,0.26933296042511545
